0,1,2,3,4,5,6,7,Class
-59.0,-58.0,-56.0,-60.0,-63.0,-65.0,-60.0,-66.0,3
-60.0,-59.0,-56.0,-57.0,-62.0,-65.0,-60.0,-69.0,3
-60.0,-57.0,-59.0,-59.0,-61.0,-64.0,-59.0,-65.0,3
-59.0,-58.0,-57.0,-58.0,-63.0,-65.0,-61.0,-74.0,3
-60.0,-59.0,-57.0,-59.0,-62.0,-67.0,-61.0,-73.0,3
-59.0,-57.0,-58.0,-60.0,-59.0,-63.0,-61.0,-71.0,3
-60.0,-59.0,-57.0,-58.0,-59.0,-65.0,-56.0,-60.0,3
-58.0,-57.0,-56.0,-59.0,-59.0,-65.0,-61.0,-63.0,3
-58.0,-57.0,-56.0,-56.0,-57.0,-63.0,-60.0,-63.0,3
-58.0,-57.0,-55.0,-55.0,-57.0,-64.0,-60.0,-62.0,3
-57.0,-55.0,-67.0,-60.0,-55.0,-53.0,-57.0,-62.0,3
-61.0,-55.0,-65.0,-57.0,-55.0,-53.0,-57.0,-56.0,3
-59.0,-55.0,-64.0,-66.0,-55.0,-54.0,-56.0,-55.0,3
-57.0,-55.0,-62.0,-65.0,-56.0,-53.0,-58.0,-54.0,3
-60.0,-56.0,-69.0,-64.0,-54.0,-52.0,-56.0,-58.0,3
-57.0,-56.0,-62.0,-66.0,-55.0,-54.0,-57.0,-55.0,3
-57.0,-56.0,-65.0,-65.0,-55.0,-55.0,-56.0,-57.0,3
-56.0,-55.0,-62.0,-68.0,-55.0,-52.0,-59.0,-57.0,3
-60.0,-56.0,-74.0,-67.0,-55.0,-54.0,-54.0,-58.0,3
-58.0,-56.0,-66.0,-65.0,-58.0,-53.0,-58.0,-58.0,3
-59.0,-57.0,-67.0,-66.0,-55.0,-56.0,-57.0,-57.0,3
-59.0,-56.0,-66.0,-64.0,-59.0,-52.0,-57.0,-57.0,3
-59.0,-54.0,-67.0,-64.0,-55.0,-55.0,-56.0,-56.0,3
